user_id,date_time,search_date,search_year,search_month,search_month_name,search_quarter,search_year_quarter,search_year_month,search_year_week,search_day_of_week,search_hour,srch_ci,srch_co,lead_time_days,lead_time_category,stay_duration,party_size,channel,channel_conversion_rate,is_mobile,device_type,is_package,package_type,site_name,user_location_country,user_location_region,user_location_city,posa_continent,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,destination_conversion_rate,destination_searches,srch_destination_type_id,orig_destination_distance,hotel_continent,hotel_country,hotel_market,hotel_cluster,is_booking,booking_status,cnt
855053,2013-01-09 08:45:00,2013-01-09,2013,1,January,1,2013-Q1,2013-01,2013-W02,Wednesday,8,2013-02-05,2013-02-07,26.0,Short Term (8-30 days),2.0,4,9,8.54,0,Desktop,0,Non-Package,2,66,337,23208,3,4,0,4,12245,2.44,82,6,1131.8353,6,204,27,38,0,Search Only,1
558513,2013-01-10 19:09:00,2013-01-10,2013,1,January,1,2013-Q1,2013-01,2013-W02,Thursday,19,2013-01-11,2013-01-13,0.0,Last Minute (0-7 days),2.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,314,37814,3,2,0,1,11569,9.82,224,1,107.0045,2,50,623,32,0,Search Only,1
605295,2013-01-12 14:56:00,2013-01-12,2013,1,January,1,2013-Q1,2013-01,2013-W02,Saturday,14,2013-06-15,2013-06-20,153.0,Long Term (>90 days),5.0,3,9,8.54,0,Desktop,0,Non-Package,2,66,462,11038,3,2,1,2,8291,7.13,589,1,2229.3,2,50,191,59,1,Booked,1
557916,2013-01-18 08:42:00,2013-01-18,2013,1,January,1,2013-Q1,2013-01,2013-W03,Friday,8,2013-05-25,2013-05-30,126.0,Long Term (>90 days),5.0,2,9,8.54,0,Desktop,1,Package,2,66,321,47535,3,2,0,1,8253,4.96,1310,1,4014.5979,6,70,19,5,0,Search Only,2
299290,2013-01-24 13:00:00,2013-01-24,2013,1,January,1,2013-Q1,2013-01,2013-W04,Thursday,13,2013-03-31,2013-04-01,65.0,Medium Term (31-90 days),1.0,2,5,9.43,0,Desktop,0,Non-Package,11,205,155,13951,3,2,0,1,11353,5.24,477,1,2775.5678,2,50,699,31,0,Search Only,1
681489,2013-02-12 10:48:00,2013-02-12,2013,2,February,1,2013-Q1,2013-02,2013-W07,Tuesday,10,2013-03-05,2013-03-08,20.0,Short Term (8-30 days),3.0,2,5,9.43,0,Desktop,0,Non-Package,23,1,436,21686,1,2,0,1,8739,5.9,305,1,577.0419,6,144,4,29,0,Search Only,1
171069,2013-02-14 07:43:00,2013-02-14,2013,2,February,1,2013-Q1,2013-02,2013-W07,Thursday,7,2013-06-05,2013-06-10,110.0,Long Term (>90 days),5.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,348,48862,3,2,0,1,23731,5.26,19,1,5126.9371,6,22,301,67,0,Search Only,1
680645,2013-02-20 18:03:00,2013-02-20,2013,2,February,1,2013-Q1,2013-02,2013-W08,Wednesday,18,2013-04-01,2013-04-04,39.0,Medium Term (31-90 days),3.0,3,9,8.54,0,Desktop,0,Non-Package,2,66,184,18716,3,2,1,1,8250,6.92,3568,1,607.2467,2,50,628,1,0,Search Only,2
641129,2013-02-27 17:43:00,2013-02-27,2013,2,February,1,2013-Q1,2013-02,2013-W09,Wednesday,17,2013-05-25,2013-05-26,86.0,Medium Term (31-90 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,337,13548,3,2,0,1,8252,8.74,206,1,3394.8857,6,170,313,29,0,Search Only,1
272100,2013-03-08 11:12:00,2013-03-08,2013,3,March,1,2013-Q1,2013-03,2013-W10,Friday,11,2013-08-25,2013-08-29,169.0,Long Term (>90 days),4.0,4,9,8.54,0,Desktop,1,Package,2,66,348,47997,3,4,0,1,11439,2.01,946,1,1552.6505,4,163,1503,65,0,Search Only,1
501762,2013-03-09 16:57:00,2013-03-09,2013,3,March,1,2013-Q1,2013-03,2013-W10,Saturday,16,2013-03-29,2013-04-02,19.0,Short Term (8-30 days),4.0,3,0,7.19,0,Desktop,1,Package,23,1,436,21686,1,2,1,1,8739,5.9,305,1,576.3363,6,144,4,46,0,Search Only,2
1167228,2013-03-18 11:39:00,2013-03-18,2013,3,March,1,2013-Q1,2013-03,2013-W12,Monday,11,2013-06-01,2013-06-05,74.0,Medium Term (31-90 days),4.0,2,1,6.97,0,Desktop,0,Non-Package,24,3,50,5703,2,2,0,1,8265,5.43,129,1,1131.8353,2,50,647,16,0,Search Only,1
351136,2013-03-21 07:28:00,2013-03-21,2013,3,March,1,2013-Q1,2013-03,2013-W12,Thursday,7,2013-06-01,2013-06-02,71.0,Medium Term (31-90 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,435,33971,3,1,1,1,8267,5.99,2739,1,543.9648,2,50,675,91,0,Search Only,1
