Order_ID,Order_Date,Order_Year,Order_Quarter,Order_Month,Order_YearMonth,Region,State,City,Country,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Revenue,Profit,Margin,Product_Revenue_Rank,City_Revenue_Rank,Region_Revenue_Rank
119738,15/10/2024,2024,2024Q4,10,2024-10,West,Oregon,Salem,United States,Accessories,Wearable Accessories,Watch Strap,1,142.68,142.68,57.6,0.403700589,192281.5,129446,84748.5
72273,13/5/2023,2023,2023Q2,5,2023-05,East,Connecticut,Hartford,United States,Home & Furniture,Furniture,IKEA Sofa,2,760.04,1520.08,192.14,0.126401242,53722,30307.5,28517.5
158155,12/1/2024,2024,2024Q1,1,2024-01,West,California,Los Angeles,United States,Accessories,Bags,Backpack,3,176.45,529.35,216.28,0.408576556,172223,91685.5,84748.5
65427,8/11/2023,2023,2023Q4,11,2023-11,East,Delaware,Dover,United States,Electronics,Laptops,MacBook Air,6,500.13,3000.78,355.51,0.11847253,16143.5,41726,28517.5
30075,12/1/2024,2024,2024Q1,1,2024-01,South,Georgia,Savannah,United States,Accessories,Wearable Accessories,Watch Strap,2,160.84,321.68,105.23,0.327126337,192281.5,196303.5,181033
23678,11/1/2023,2023,2023Q1,1,2023-01,Centre,Kansas,Topeka,United States,Clothing & Apparel,Men's Wear,Under Armour T-Shirt,3,381.24,1143.72,418.42,0.36584129,144179,72032,137264
134859,7/9/2024,2024,2024Q3,9,2024-09,Centre,North Dakota,Fargo,United States,Electronics,Tablets,iPad Pro,1,782.51,782.51,108.14,0.138196317,30384,58037.5,137264
176419,20/11/2024,2024,2024Q4,11,2024-11,West,Wyoming,Casper,United States,Electronics,TVs & Audio,Sony Bravia TV,1,839.01,839.01,103.98,0.123931777,75436,149083,84748.5
132468,13/8/2023,2023,2023Q3,8,2023-08,South,Florida,Jacksonville,United States,Clothing & Apparel,Kids Wear,Carter's Onesie,1,259.11,259.11,110.21,0.425340589,90337,185665.5,181033
4083,29/7/2024,2024,2024Q3,7,2024-07,East,Delaware,Dover,United States,Home & Furniture,Home Decor,Vase,1,559.85,559.85,152,0.271501295,140752.5,41726,28517.5
74457,3/4/2023,2023,2023Q2,4,2023-04,East,New Jersey,Newark,United States,Clothing & Apparel,Men's Wear,Under Armour T-Shirt,2,378.64,757.28,223.17,0.294699451,144179,24566,28517.5
142134,11/11/2023,2023,2023Q4,11,2023-11,Centre,South Dakota,Rapid City,United States,Clothing & Apparel,Women's Wear,Zara Blouse,1,75.56,75.56,17.03,0.225383801,110934.5,139167.5,137264
186434,18/6/2023,2023,2023Q2,6,2023-06,South,South Carolina,Columbia,United States,Accessories,Small Electronics,Phone Case,1,154.25,154.25,64.78,0.419967585,158639.5,170400.5,181033
84661,16/2/2024,2024,2024Q1,2,2024-02,West,Idaho,Boise,United States,Accessories,Wearable Accessories,Sunglasses,2,235.94,471.88,159.2,0.337373909,167173.5,125491,84748.5
117168,7/12/2023,2023,2023Q4,12,2023-12,South,Florida,Tampa,United States,Clothing & Apparel,Footwear,Crocs,1,55.92,55.92,19.69,0.352110157,152219,188863,181033
110853,7/11/2023,2023,2023Q4,11,2023-11,East,New Jersey,Newark,United States,Electronics,Home Appliances,Instant Pot,4,485.08,1940.32,287.26,0.148047745,9852,24566,28517.5
105001,23/10/2024,2024,2024Q4,10,2024-10,East,Maryland,Baltimore,United States,Electronics,Home Appliances,Instant Pot,2,693.4,1386.8,232.79,0.167861263,9852,47295,28517.5
181464,1/12/2023,2023,2023Q4,12,2023-12,South,Kentucky,Lexington,United States,Home & Furniture,Bedding,Tempur-Pedic Mattress,1,613.16,613.16,83.28,0.135820993,2762,174826.5,181033
9448,9/3/2024,2024,2024Q1,3,2024-03,West,Arizona,Tucson,United States,Electronics,TVs & Audio,LG OLED TV,1,559.59,559.59,111.67,0.199556818,95213,141117,84748.5
178532,17/6/2023,2023,2023Q2,6,2023-06,Centre,Missouri,St. Louis,United States,Clothing & Apparel,Footwear,Nike Running Shoes,3,309.05,927.15,414.19,0.446734617,102666.5,103790,137264
168259,20/12/2024,2024,2024Q4,12,2024-12,South,Florida,Tallahassee,United States,Home & Furniture,Home Decor,Throw Pillows,1,329,329,44.01,0.133768997,57366,177045.5,181033
30069,20/11/2024,2024,2024Q4,11,2024-11,South,Georgia,Savannah,United States,Home & Furniture,Kitchenware,Cookware Set,1,451.49,451.49,133.64,0.295997697,135947.5,196303.5,181033
28456,8/10/2024,2024,2024Q4,10,2024-10,Centre,Wisconsin,Madison,United States,Home & Furniture,Kitchenware,Cookware Set,1,267.3,267.3,79.33,0.296782641,135947.5,127468,137264
156519,30/8/2024,2024,2024Q3,8,2024-08,East,New Jersey,Newark,United States,Home & Furniture,Kitchenware,Cookware Set,1,317,317,67.02,0.211419558,135947.5,24566,28517.5
7817,16/4/2023,2023,2023Q2,4,2023-04,West,New Mexico,Santa Fe,United States,Clothing & Apparel,Sportswear,Adidas Tracksuit,2,337.65,675.3,273.32,0.404738635,119089.5,161071.5,84748.5
5255,18/7/2023,2023,2023Q3,7,2023-07,West,Arizona,Phoenix,United States,Clothing & Apparel,Sportswear,Adidas Tracksuit,1,243.84,243.84,78.08,0.320209974,119089.5,151096.5,84748.5
9849,22/11/2024,2024,2024Q4,11,2024-11,South,Kentucky,Lexington,United States,Home & Furniture,Storage,Storage Rack,1,575.34,575.34,109.63,0.190548198,41324,174826.5,181033
130691,12/6/2023,2023,2023Q2,6,2023-06,West,Montana,Billings,United States,Clothing & Apparel,Men's Wear,Levi's Jeans,1,143.87,143.87,48.96,0.340307222,126779,68055,84748.5
191767,20/10/2023,2023,2023Q4,10,2023-10,West,California,San Francisco,United States,Clothing & Apparel,Men's Wear,GAP Hoodie,1,305.07,305.07,90.72,0.297374373,162784,107867.5,84748.5
48711,26/11/2024,2024,2024Q4,11,2024-11,Centre,Kansas,Wichita,United States,Electronics,Laptops,MacBook Air,3,497.92,1493.76,261.57,0.175108451,16143.5,63929,137264
132177,30/5/2024,2024,2024Q2,5,2024-05,Centre,Missouri,St. Louis,United States,Home & Furniture,Home Decor,Vase,1,886.21,886.21,275.37,0.310727706,140752.5,103790,137264
6604,26/10/2024,2024,2024Q4,10,2024-10,East,New York,New York City,United States,Clothing & Apparel,Men's Wear,Levi's Jeans,1,370.81,370.81,149.94,0.404358027,126779,36092,28517.5
22726,8/11/2024,2024,2024Q4,11,2024-11,East,Delaware,Dover,United States,Electronics,Tablets,Samsung Galaxy Tab,1,734.61,734.61,76.45,0.104068826,85305.5,41726,28517.5
810,16/2/2024,2024,2024Q1,2,2024-02,Centre,North Dakota,Fargo,United States,Electronics,Smartphones,Apple iPhone 14,2,790.48,1580.96,136.94,0.086618257,25855.5,58037.5,137264
113504,8/9/2024,2024,2024Q3,9,2024-09,Centre,Missouri,St. Louis,United States,Home & Furniture,Furniture,Ashley Recliner,1,752.71,752.71,240.25,0.319180029,138303,103790,137264
90859,4/6/2023,2023,2023Q2,6,2023-06,West,California,San Diego,United States,Home & Furniture,Storage,Closet Organizer,1,577.73,577.73,196.51,0.340141589,68763.5,119502,84748.5
37748,8/9/2023,2023,2023Q3,9,2023-09,West,New Mexico,Santa Fe,United States,Home & Furniture,Kitchenware,KitchenAid Mixer,2,52.94,105.88,16.48,0.155647903,35782.5,161071.5,84748.5
129626,2/1/2023,2023,2023Q1,1,2023-01,South,Tennessee,Nashville,United States,Clothing & Apparel,Women's Wear,Old Navy Dress,1,387.49,387.49,102.7,0.265039098,80407,172632,181033
19645,13/12/2023,2023,2023Q4,12,2023-12,South,Texas,Dallas,United States,Accessories,Bags,Backpack,1,79.11,79.11,21.57,0.272658324,172223,164893,181033
60152,2/11/2024,2024,2024Q4,11,2024-11,Centre,Nebraska,Omaha,United States,Accessories,Bags,Wallet,3,58.27,174.81,69.04,0.394943081,182105,111797.5,137264
64048,30/1/2023,2023,2023Q1,1,2023-01,East,Maine,Augusta,United States,Home & Furniture,Home Decor,Vase,1,514.03,514.03,115.7,0.225084139,140752.5,55638.5,28517.5
160889,29/4/2024,2024,2024Q2,4,2024-04,West,Arizona,Phoenix,United States,Electronics,Smartphones,Apple iPhone 14,6,1100.23,6601.38,1134.22,0.17181559,25855.5,151096.5,84748.5
54784,1/1/2023,2023,2023Q1,1,2023-01,Centre,South Dakota,Sioux Falls,United States,Accessories,Bags,Tote Bag,2,81.67,163.34,75.25,0.460695482,198615,73980,137264
129465,18/9/2024,2024,2024Q3,9,2024-09,East,Delaware,Wilmington,United States,Home & Furniture,Kitchenware,Instant Pot,2,583.58,1167.16,368.58,0.315792179,9852,10174.5,28517.5
142388,11/11/2023,2023,2023Q4,11,2023-11,West,Arizona,Phoenix,United States,Clothing & Apparel,Sportswear,Adidas Tracksuit,2,63.57,127.14,44.63,0.35103036,119089.5,151096.5,84748.5
142235,1/7/2024,2024,2024Q3,7,2024-07,East,Maryland,Annapolis,United States,Clothing & Apparel,Women's Wear,Zara Blouse,1,267.57,267.57,85.07,0.317935494,110934.5,38924.5,28517.5
139137,29/10/2023,2023,2023Q4,10,2023-10,East,New Jersey,Jersey City,United States,Electronics,Wearables,Apple Watch,4,928.47,3713.88,505.78,0.136186414,21072,15965,28517.5
